"rank","candidate_index","screening_max_bc_dist","screening_n_shifts","n_clusters","n_effective_species","screen_score","silhouette_threshold","passed_silhouette","is_multistable","mean_between_bc","min_between_bc","mean_within_bc","separation_ratio"
1,1,0.647685761945661,3,2,38,0.58556334091462,0.3,TRUE,TRUE,0.826149745139834,0.615293055675247,0.35436156126437,2.33137517001594
2,3,0.288348305031245,1,2,37,0.440989553888398,0.3,TRUE,TRUE,0.704911395173074,0.407289506944329,0.392775352755566,1.79469355759642
3,2,0.330354228856787,1,2,36,0.322658049150298,0.3,TRUE,TRUE,0.633125855270859,0.296944060442238,0.435302757357625,1.45444944827379
