"PC1","PC2","time"
-0.218805648954331,-0.0323778097384918,1
-0.222795534286416,-0.0483263787361861,2
-0.225184245689671,-0.0474999521265582,3
-0.22552580973868,-0.0481958381992737,4
-0.226843983282479,-0.053403183025995,5
-0.228391474289709,-0.0612848238302109,6
-0.226878904179832,-0.0611718441347919,7
-0.222892659540157,-0.0454633595457345,8
-0.226446097598444,-0.055910145510088,9
-0.235255074648556,-0.0905542080737504,10
-0.231038512919523,-0.0717486515887423,11
-0.225801631617184,-0.0588901133159963,12
-0.227296126619845,-0.0655446036747644,13
-0.22516459448314,-0.0587565314656729,14
-0.227760398661511,-0.0652320011752004,15
-0.227347200363589,-0.0540573717483908,16
-0.225476893178952,-0.0501715968147672,17
-0.226063372521439,-0.0545227842142918,18
-0.224693255444689,-0.0551153853596005,19
-0.224755810641437,-0.05938228585963,20
-0.222006574439835,-0.0521204955033332,21
-0.209130356120064,-0.00552621068236545,22
-0.220861799087306,-0.0446514455981335,23
-0.221448594518442,-0.0513420531398402,24
-0.222326368777984,-0.0525733064059009,25
-0.224042438917594,-0.0555558203951139,26
-0.220662924264124,-0.0442598782527846,27
-0.22110586000958,-0.0415923612207506,28
-0.220283965472609,-0.0400911535314565,29
-0.22274784705274,-0.0495027588795841,30
-0.220569166679416,-0.0459208643922355,31
-0.224152017826947,-0.0549875421992121,32
-0.22717551013475,-0.0666998751713676,33
-0.226040365918298,-0.0624912177731867,34
-0.228060746283296,-0.070287097249271,35
-0.222307581488636,-0.0454623259501099,36
-0.223984731095333,-0.0534942001154875,37
-0.227189344352492,-0.0645655160660902,38
-0.226419107249673,-0.0650634219170941,39
-0.225711088696831,-0.0648835504688383,40
-0.221686577018185,-0.0470291922194057,41
-0.22417678834257,-0.0549090051141954,42
-0.224777345389883,-0.0504707382612161,43
-0.215827632947616,-0.0267719163716532,44
-0.219586656320625,-0.040846298844082,45
-0.215136205098792,-0.0258704068292938,46
-0.220418276096478,-0.0415689049014888,47
-0.222809239494196,-0.0469812960764124,48
-0.217200270636989,-0.0304408821602788,49
-0.222450623750639,-0.0435815877941371,50
-0.220251625840296,-0.0376339576679001,51
-0.222992608264141,-0.0460098143657324,52
-0.221042861916322,-0.0437768929151505,53
-0.228093407978672,-0.0694728106028682,54
-0.219192454705847,-0.0344328463231847,55
-0.226516487775523,-0.0643613984389167,56
-0.226416377696692,-0.0637098016486961,57
-0.227085031111192,-0.0572735404333598,58
-0.225944375540011,-0.0564536726709027,59
-0.224455256729375,-0.0501318890227856,60
-0.231161794810976,-0.0765423164286877,61
-0.228638375279909,-0.0614420813772297,62
-0.227814153899189,-0.0607181820218336,63
-0.23377455240851,-0.0794426340004394,64
-0.234106777276085,-0.0740586118258916,65
-0.233953849773449,-0.0714556958575023,66
-0.22961340470478,-0.0577566540090485,67
-0.229961422994647,-0.062105269509465,68
-0.227430365033829,-0.0535738749670783,69
-0.231034274313457,-0.0690006127368845,70
-0.229325588417991,-0.0640556200212187,71
-0.230050263962899,-0.067574005443532,72
-0.226148387359365,-0.0528887517976821,73
-0.235207240847036,-0.0685969330345092,74
-0.236564607541789,-0.0730535991476916,75
-0.232291437979368,-0.0550910192221928,76
-0.233818369332816,-0.0599747429284425,77
-0.232739053314929,-0.0583430533490011,78
-0.229361546598127,-0.0466651423810562,79
-0.234292319561937,-0.0651152551697225,80
-0.235302129383173,-0.070676860798559,81
-0.235208410011783,-0.0693186393895833,82
-0.233376401934525,-0.0611074003923336,83
-0.235130488292907,-0.0709399773041286,84
-0.238275974122463,-0.0816975426169793,85
-0.2331446870253,-0.0650701593862107,86
-0.232965694058949,-0.0586386954065341,87
-0.234781668744193,-0.0643172112417282,88
-0.233838299940669,-0.0689362663029378,89
-0.23238777268709,-0.0602007498358968,90
-0.23323517903942,-0.0614664778816385,91
-0.234492514564608,-0.068507321039632,92
-0.233947440289035,-0.0659833521244306,93
-0.231298317633459,-0.0561056762404176,94
-0.233906771037595,-0.0656367301801389,95
-0.235723662460226,-0.0765695260649551,96
-0.232556082727566,-0.0618345705715509,97
-0.23001080540519,-0.0520154435684251,98
-0.229380584372232,-0.0464426889156193,99
-0.215194473616675,-0.0019964988099424,100
-0.222956383736302,-0.0223047478460348,101
-0.230273698149168,-0.047799035874595,102
-0.232054260874359,-0.0567705946409389,103
-0.231858713861309,-0.0544538072488251,104
-0.232226049386714,-0.057374760657024,105
-0.234336790126728,-0.0617546302126384,106
-0.232627454816561,-0.0556970269424374,107
-0.231814703142539,-0.0569543235109058,108
-0.230645392785475,-0.05231696863451,109
-0.23326587203864,-0.0643547935226621,110
-0.234907646233134,-0.0683603876744137,111
-0.231190103465765,-0.0581006103014303,112
-0.231238110187611,-0.0556616096011854,113
-0.229008587278399,-0.0462260235346106,114
-0.231788731782415,-0.0550028965405982,115
-0.233234770851918,-0.0602423917595887,116
-0.230607428545331,-0.0461117067959879,117
-0.234313278000193,-0.0638894317643773,118
-0.23394631217235,-0.0612449542297781,119
-0.235885841199739,-0.0766248474881272,120
-0.232595114907604,-0.060279765617615,121
-0.235646670474841,-0.0742965207668068,122
-0.235024961453073,-0.0710462025405962,123
-0.237029667003779,-0.073922992093081,124
-0.233830557107705,-0.0625245793830353,125
-0.236488347079666,-0.0763262890057149,126
-0.23453407521343,-0.0652952089180655,127
-0.232594872067674,-0.0566753918909959,128
-0.23217172571173,-0.0531392916636219,129
-0.231761907232307,-0.0526987380539178,130
-0.234006837126351,-0.0622949517551322,131
-0.232296630992531,-0.0521358560276961,132
-0.233702721725266,-0.0533074980340304,133
-0.234861159019005,-0.0599466468159967,134
-0.234496560594149,-0.0603854899276237,135
-0.234045702877037,-0.0599695829910748,136
-0.232426191959254,-0.0522924865779429,137
-0.232162629705945,-0.0552697271856786,138
-0.236183532517859,-0.067457790437978,139
-0.233713163471796,-0.056343969127828,140
-0.235427157343382,-0.0577370282760768,141
-0.23587438490535,-0.0629873830150563,142
-0.23796790964603,-0.0735189925436761,143
-0.235653980861901,-0.0652088415886791,144
