"window","bc_dist"
20,0.0397379986133059
40,0.0233785806330634
60,0.0240213302504484
80,0.0261589754084222
100,0.0143412802996182
120,0.0383811662782917
140,0.0361328046648709
160,0.0583523596137005
180,0.0341096316490843
200,0.00946800187694828
220,0.0198481974717823
240,0.00892963334361027
260,0.0202423744977143
280,0.0276609517046708
300,0.0170479439529895
320,0.0147043488032159
340,0.0138469318665209
360,0.0260740096422644
380,0.0100835966034392
400,0.00811647234045649
420,0.0125671124027284
440,0.0220477706484266
460,0.0157806525822329
480,0.0114832071554037
500,0.0164030981276807
520,0.0159100397415109
540,0.00873630934349676
560,0.0356474412408294
580,0.0206952590783797
600,0.00684975713901707
620,0.00956835818223973
640,0.0128022460212665
660,0.017909023722766
680,0.007962017735518
700,0.0151047712893138
720,0.0189930573044717
740,0.0114748092091838
760,0.00573948375229788
780,0.015278390334963
800,0.0241598095713265
820,0.00833697691166526
840,0.0298338345714962
860,0.0306407544843432
880,0.0109728549510574
900,0.0268617448009182
920,0.0206356077072992
940,0.02176056490351
960,0.026467839020944
980,0.00948309214988072
1000,0.016461483809929
1020,0.0139048005071978
1040,0.0108340537548087
1060,0.0167316207714105
1080,0.0161138028327821
1100,0.0131155703669377
1120,0.0154166616763762
1140,0.0234616739571159
1160,0.0120995068214233
1180,0.0470237722813917
1200,0.0516843219090461
1220,0.0154328579448434
1240,0.0191570573679739
1260,0.0267160700804902
1280,0.00935077352999422
1300,0.0157931521807858
1320,0.0120427964567612
1340,0.0254116531761472
1360,0.067269333365712
1380,0.0829177902751477
1400,0.0363434068890891
1420,0.0556925195643564
1440,0.0170706278736746
1460,0.0408685164350048
1480,0.0252463329546343
1500,0.0401149284929283
1520,0.0370035829777988
1540,0.0396601550010249
1560,0.0274242347973358
1580,0.366336289941074
1600,0.202422904520742
1620,0.0165053377079714
1640,0.0236763746422553
1660,0.0170763034204591
1680,0.055047716461847
1700,0.0600748478696228
1720,0.0850503079777899
1740,0.0474883308135718
1760,0.0565334257813777
1780,0.0390414031558822
1800,0.0366593978428192
1820,0.0295421646888534
1840,0.0270665422171366
1860,0.0373078759505542
1880,0.0275701382820334
1900,0.0344347318278713
1920,0.0390069622343539
1940,0.0333909008976949
1960,0.0368189195385339
1980,0.0402288864825098
2000,0.0434809690771447
2020,0.0349482956230666
2040,0.0623401800001486
2060,0.0434855307233342
2080,0.10269872014666
2100,0.0797379665045786
2120,0.0313801953174436
2140,0.0293958087237197
2160,0.0148986898963203
2180,0.0454288241128823
2200,0.0786550167168564
2220,0.0731273926239506
2240,0.0332441364992457
2260,0.0355075780467964
2280,0.0330371648285257
2300,0.374745356043436
2320,0.10910794549409
2340,0.0725345380806593
2360,0.0496031444429184
2380,0.0322320793642912
2400,0.0266316910835286
2420,0.0258777107578339
2440,0.0254010077287248
2460,0.0165616660316739
2480,0.0440828798687037
2500,0.045103145642887
2520,0.0241458351991124
2540,0.014748672397227
2560,0.0443008419075269
2580,0.0173863997727015
2600,0.027867989922947
2620,0.0410654254319002
2640,0.032370919834077
2660,0.0314875255802034
2680,0.0636888725885695
2700,0.0461536177682584
2720,0.0244241717608025
2740,0.0602945976467669
2760,0.0774353189997636
2780,0.0699869371177195
2800,0.0330637959263569
2820,0.0322220085479733
2840,0.0376060160614448
2860,0.0292220302500762
2880,0.0226229168868385
