Taxa,plant,ra,z_land,p_land,z_even,p_even,p_land_BH,p_even_BH,target,target_k,target_p,target_c,guild
Cortinarius,Pinus,median,0.983620806707752,0.147914791479148,-0.528227062862136,0.38013801380138,0.2035180437605,0.4587268030994,Fng_*Cortinarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Cortinarius,Pinus,perc75,-0.579574457867163,0.685868586858686,-0.293195363393904,0.361436143614361,0.737958320492521,0.447280014861449,Fng_*Cortinarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Cortinarius,Acer,perc25,-0.137364025555453,0.273127312731273,-0.740758516247777,0.0746074607460746,0.340970257092058,0.188018299317369,Fng_*Cortinarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Cortinarius,Acer,median,2.11555472757482,0.0479047904790479,-0.79424653593302,0.133013301330133,0.0775988010423318,0.259557084113081,Fng_*Cortinarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Cortinarius,Acer,perc75,0.95970003090945,0.184318431843184,-0.890809673846704,0.14011401140114,0.244768698307855,0.267175576873277,Fng_*Cortinarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Cortinarius,Populus,perc25,-0.186573366731924,0.445844584458446,-0.700771748939136,0.163016301630163,0.51190508066825,0.289731867457271,Fng_*Cortinarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Cortinarius,Populus,median,0.315724672464396,0.288828882888289,-1.52962257727658,0.0624062406240624,0.356799077527777,0.170399617094196,Fng_*Cortinarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Cortinarius,Populus,perc75,2.52004455330599,0.0368036803680368,-1.29383703176352,0.0912091209120912,0.0616740772323823,0.211032867992682,Fng_*Cortinarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Cortinarius,Juglans,perc25,-0.116263369357113,0.492649264926493,-1.02607401617138,0.142514251425143,0.556413660499421,0.269531981482246,Fng_*Cortinarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Cortinarius,Juglans,median,-0.160964626029637,0.506250625062506,-1.09764869029645,0.133013301330133,0.569319203119416,0.259557084113081,Fng_*Cortinarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Cortinarius,Juglans,perc75,0.1739705066005,0.374037403740374,-1.5687734714577,0.0465046504650465,0.442104281099488,0.142788258417679,Fng_*Cortinarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Betula,perc25,1.03037187103323,0.152815281528153,-3.23669463423326,0.0236023602360236,0.209351720154951,0.0979579337244069,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Betula,median,0.64284439178793,0.220722072207221,-2.20476941679136,0.0437043704370437,0.28488051377485,0.137415308929012,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Betula,perc75,-0.0973970856112512,0.414841484148415,-1.06985211499381,0.108110811081108,0.481635282695258,0.230304729588003,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Larix,perc25,-0.257865904095042,1,-0.250824434026633,0.92969296929693,1,0.933259764675383,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Larix,median,-0.354699376493683,1,-0.391099934570674,0.836483648364836,1,0.849900151250985,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Larix,perc75,-0.459714374566161,1,-0.4570777781193,0.778277827782778,1,0.797154957966445,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Pinus,perc25,-0.962651214224085,0.845184518451845,0.055943708380346,0.552355235523552,0.887642767416459,0.583477937051209,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Pinus,median,-0.884235788291746,0.80958095809581,0.19733136699483,0.5001500150015,0.853227192139834,0.533021361626248,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Pinus,perc75,-1.06588381985923,0.870887088708871,0.274451995885583,0.463946394639464,0.912091000368083,0.51033255400115,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
