"","fb","Taxa","plant","ra","z_land","p_land","z_even","p_even","p_land_BH","p_even_BH","target","target_k","target_p","target_c","landscape","target2","plant2","tag_ord","Top"
"25%2381","Prokaryote","Candidatus Udaeobacter","Pinus","perc25",21.4884557964807,1e-04,2.57582214967138,0.0066006600660066,0.000278391223310958,0.042897162286423,"Prok_*Candidatus Udaeobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","without Δ*H* change","Prok_*Candidatus Udaeobacter*","*Pinus*","Prok_*Candidatus Udaeobacter*",FALSE
"50%2381","Prokaryote","Candidatus Udaeobacter","Pinus","median",26.2972739776217,1e-04,4.49257983241613e-05,0.498349834983498,0.000278391223310958,0.531938507791893,"Prok_*Candidatus Udaeobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","without Δ*H* change","Prok_*Candidatus Udaeobacter*","*Pinus*","Prok_*Candidatus Udaeobacter*",FALSE
"50%2371","Prokaryote","Candidatus Solibacter","Pinus","median",21.7130497794646,1e-04,1.76948367288828,0.0361036103610361,0.000278391223310958,0.124084253085503,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","without Δ*H* change","Prok_*Candidatus Solibacter*","*Pinus*","Prok_*Candidatus Solibacter*",FALSE
"75%2381","Prokaryote","Candidatus Udaeobacter","Pinus","perc75",25.709084244742,1e-04,-0.624399268495782,0.258225822582258,0.000278391223310958,0.374548807013745,"Prok_*Candidatus Udaeobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","without Δ*H* change","Prok_*Candidatus Udaeobacter*","*Pinus*","Prok_*Candidatus Udaeobacter*",FALSE
"75%2371","Prokaryote","Candidatus Solibacter","Pinus","perc75",23.1076026911198,1e-04,1.39140011655074,0.0801080108010801,0.000278391223310958,0.195574040162637,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","without Δ*H* change","Prok_*Candidatus Solibacter*","*Pinus*","Prok_*Candidatus Solibacter*",FALSE
"25%3371","Prokaryote","Candidatus Solibacter","Acer","perc25",23.1199418994002,1e-04,1.87588127431619,0.034003400340034,0.000278391223310958,0.12001904002717,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","without Δ*H* change","Prok_*Candidatus Solibacter*","*Acer*","Prok_*Candidatus Solibacter*",FALSE
"25%31051","Prokaryote","Mycobacterium","Acer","perc25",22.1524245271572,1e-04,-1.24094025869714,0.103510351035104,0.000278391223310958,0.22528943671944,"Prok_*Mycobacterium*","Prokaryote","Prok_Actinobacteriota","Prok_Actinobacteria","without Δ*H* change","Prok_*Mycobacterium*","*Acer*","Prok_*Mycobacterium*",FALSE
"50%3371","Prokaryote","Candidatus Solibacter","Acer","median",23.398827770284,1e-04,2.57309643118579,0.0056005600560056,0.000278391223310958,0.0388744756828624,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","without Δ*H* change","Prok_*Candidatus Solibacter*","*Acer*","Prok_*Candidatus Solibacter*",FALSE
"50%3381","Prokaryote","Candidatus Udaeobacter","Acer","median",23.1088997685424,1e-04,-0.417720055693763,0.340834083408341,0.000278391223310958,0.434103600836274,"Prok_*Candidatus Udaeobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","without Δ*H* change","Prok_*Candidatus Udaeobacter*","*Acer*","Prok_*Candidatus Udaeobacter*",FALSE
"75%3371","Prokaryote","Candidatus Solibacter","Acer","perc75",24.9837160072843,1e-04,1.02323815823406,0.157215721572157,0.000278391223310958,0.284634239597245,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","without Δ*H* change","Prok_*Candidatus Solibacter*","*Acer*","Prok_*Candidatus Solibacter*",FALSE
"75%3381","Prokaryote","Candidatus Udaeobacter","Acer","perc75",23.8309600001383,1e-04,-1.63441499609157,0.051005100510051,0.000278391223310958,0.150686644511285,"Prok_*Candidatus Udaeobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","without Δ*H* change","Prok_*Candidatus Udaeobacter*","*Acer*","Prok_*Candidatus Udaeobacter*",FALSE
"25%4371","Prokaryote","Candidatus Udaeobacter","Populus","perc25",29.5567948586181,1e-04,-0.970134945230082,0.156815681568157,0.000278391223310958,0.284509126221636,"Prok_*Candidatus Udaeobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","without Δ*H* change","Prok_*Candidatus Udaeobacter*","*Populus*","Prok_*Candidatus Udaeobacter*",FALSE
"25%4361","Prokaryote","Candidatus Solibacter","Populus","perc25",27.9862626032902,1e-04,-2.01037203614267,0.0218021802180218,0.000278391223310958,0.0924633689584603,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","without Δ*H* change","Prok_*Candidatus Solibacter*","*Populus*","Prok_*Candidatus Solibacter*",FALSE
"50%4371","Prokaryote","Candidatus Udaeobacter","Populus","median",30.1530057083956,1e-04,-3.01612335969439,0.0011001100110011,0.000278391223310958,0.0123516082951579,"Prok_*Candidatus Udaeobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","with Δ*H* reduction","Prok_*Candidatus Udaeobacter*","*Populus*","Prok_*Candidatus Udaeobacter*",FALSE
"50%4361","Prokaryote","Candidatus Solibacter","Populus","median",27.5286744302357,1e-04,-2.73041335877411,0.0037003700370037,0.000278391223310958,0.0292241822607458,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","without Δ*H* change","Prok_*Candidatus Solibacter*","*Populus*","Prok_*Candidatus Solibacter*",FALSE
"75%4361","Prokaryote","Candidatus Solibacter","Populus","perc75",28.1952949460942,1e-04,-4.23192962153209,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","with Δ*H* reduction","Prok_*Candidatus Solibacter*","*Populus*","Prok_*Candidatus Solibacter*",FALSE
"75%4371","Prokaryote","Candidatus Udaeobacter","Populus","perc75",27.3263638226651,1e-04,-4.89701659533404,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Candidatus Udaeobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","with Δ*H* reduction","Prok_*Candidatus Udaeobacter*","*Populus*","Prok_*Candidatus Udaeobacter*",FALSE
"25%1401","Prokaryote","Candidatus Udaeobacter","Larix","perc25",23.4910682598922,1e-04,-1.9012981366174,0.0269026902690269,0.000278391223310958,0.105679105769585,"Prok_*Candidatus Udaeobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","without Δ*H* change","Prok_*Candidatus Udaeobacter*","*Larix*","Prok_*Candidatus Udaeobacter*",FALSE
"25%11081","Prokaryote","Labrys","Larix","perc25",22.8825534815508,1e-04,-0.357656857223597,0.360836083608361,0.000278391223310958,0.446905032137295,"Prok_*Labrys*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","without Δ*H* change","Prok_*Labrys*","*Larix*","Prok_*Labrys*",FALSE
"50%1401","Prokaryote","Candidatus Udaeobacter","Larix","median",26.4347011924347,1e-04,-1.9970017409303,0.0207020702070207,0.000278391223310958,0.0895007604208697,"Prok_*Candidatus Udaeobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","without Δ*H* change","Prok_*Candidatus Udaeobacter*","*Larix*","Prok_*Candidatus Udaeobacter*",FALSE
"50%1391","Prokaryote","Candidatus Solibacter","Larix","median",22.6226168243674,1e-04,-0.511008114153759,0.301030103010301,0.000278391223310958,0.406644031406508,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","without Δ*H* change","Prok_*Candidatus Solibacter*","*Larix*","Prok_*Candidatus Solibacter*",FALSE
"75%1401","Prokaryote","Candidatus Udaeobacter","Larix","perc75",26.052796798429,1e-04,-4.86394649230172,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Candidatus Udaeobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","with Δ*H* reduction","Prok_*Candidatus Udaeobacter*","*Larix*","Prok_*Candidatus Udaeobacter*",FALSE
"75%1391","Prokaryote","Candidatus Solibacter","Larix","perc75",23.4816653465561,1e-04,-3.92672402362121,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","with Δ*H* reduction","Prok_*Candidatus Solibacter*","*Larix*","Prok_*Candidatus Solibacter*",FALSE
"25%5311","Prokaryote","Candidatus Udaeobacter","Juglans","perc25",32.6924767086992,1e-04,-5.49821048359315,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Candidatus Udaeobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","with Δ*H* reduction","Prok_*Candidatus Udaeobacter*","*Juglans*","Prok_*Candidatus Udaeobacter*",FALSE
"25%5301","Prokaryote","Candidatus Solibacter","Juglans","perc25",28.2151363321663,1e-04,-5.24320105591895,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","with Δ*H* reduction","Prok_*Candidatus Solibacter*","*Juglans*","Prok_*Candidatus Solibacter*",FALSE
"50%5311","Prokaryote","Candidatus Udaeobacter","Juglans","median",32.6212485946184,1e-04,-8.18357784517963,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Candidatus Udaeobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","with Δ*H* reduction","Prok_*Candidatus Udaeobacter*","*Juglans*","Prok_*Candidatus Udaeobacter*",FALSE
"50%5301","Prokaryote","Candidatus Solibacter","Juglans","median",29.3460229853962,1e-04,-8.41927752737178,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","with Δ*H* reduction","Prok_*Candidatus Solibacter*","*Juglans*","Prok_*Candidatus Solibacter*",FALSE
"75%5311","Prokaryote","Candidatus Udaeobacter","Juglans","perc75",30.6961708505037,1e-04,-7.48043090542609,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Candidatus Udaeobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","with Δ*H* reduction","Prok_*Candidatus Udaeobacter*","*Juglans*","Prok_*Candidatus Udaeobacter*",FALSE
"75%5301","Prokaryote","Candidatus Solibacter","Juglans","perc75",28.467889136429,1e-04,-7.74480007971479,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","with Δ*H* reduction","Prok_*Candidatus Solibacter*","*Juglans*","Prok_*Candidatus Solibacter*",FALSE
