"PC1","PC2","time"
-0.0978964030719884,0.0445235594433516,1
-0.0778326786009112,0.0446022887813376,2
-0.0877022220795208,0.0480313329643433,3
-0.0834015763289864,0.0421625395386386,4
-0.0839173137906577,0.0427400517571734,5
-0.0647337203127227,0.039023398330658,6
-0.0718147850869669,0.0391672174073051,7
-0.082619738642692,0.0379125942334528,8
-0.0769390469111729,0.0440167889312089,9
-0.115946701981652,0.0312697273927345,10
-0.103122663792778,0.0466320700492444,11
-0.0999102604600007,0.0403910245373174,12
-0.107333876999884,0.0413340300814169,13
-0.113812990823683,0.0416466563345359,14
-0.103222943073966,0.034434948660327,15
-0.0921728350561086,0.038850132898926,16
-0.100957320634868,0.0411436328946297,17
-0.100726065577325,0.0460004626826798,18
-0.0939699138901036,0.04336094732931,19
-0.0797367310576146,0.0219260955091405,20
-0.0795491877609609,0.0375063177394078,21
-0.0709171558614219,0.0478617466443422,22
-0.071296749540123,0.0523960599200506,23
-0.0754565347511676,0.0487466085193233,24
-0.0646699789320442,0.0521618556311559,25
-0.0724198121956002,0.0489492513767909,26
-0.0994799983589728,0.0449501751291143,27
-0.09447750728278,0.0448310416906498,28
-0.0983584867947844,0.0386582303892165,29
-0.109470300914962,0.0419999642083342,30
-0.101568766343667,0.0463733351472279,31
-0.102550877399841,0.0458641429916641,32
-0.0995485048757374,0.0810790457752757,33
-0.093268455694016,0.0764257173760874,34
-0.0840942279934909,0.0732456524304207,35
-0.0940061227668389,0.0768412406430754,36
-0.0958644659558184,0.0817442126005803,37
-0.0885986749208471,0.0740930957177502,38
-0.0972529315041596,0.0780733565087544,39
-0.094399821249838,0.0764734626054938,40
-0.0944503035001462,0.0778205806325125,41
-0.0782727000848925,0.0794693125761822,42
-0.0772754181538041,0.0731900472739488,43
-0.089477853500463,0.0799493948275909,44
-0.0891714809254002,0.0727988345155543,45
-0.0872095625284228,0.0773867655629539,46
-0.0839953264857506,0.0805206022986251,47
-0.0885743512632211,0.0804821825104213,48
-0.08501897936073,0.0790461562067507,49
-0.074854304771742,0.0938044816194338,50
-0.105724296223827,0.0873707246109993,51
-0.120783034918117,0.088562792647525,52
-0.115377800583594,0.0810853969263285,53
-0.103647827822775,0.0765777890756964,54
-0.0886743839646339,0.0802618263443761,55
-0.0473760792425347,0.0872966484118625,56
-0.0941751664737996,0.0877885818931306,57
-0.110923615025771,0.0882513028911124,58
-0.112864676969751,0.0831152500934535,59
-0.0935273788804112,0.0776747856235862,60
-0.0817426731169273,0.0728079098395199,61
